,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How does a company's stock tanking affect the mood of employees and investors?,"['ning problem. Or rather, a “not winning” problem.\nThe typical case is a company that used to be a hot growth com-\npany, but the growth has Yattened out, causing the stock to tank\nand everyone to be in a bad mood. Or, alternately, an older\nbig company that did really well for a while but more recently\nhasn’t been doing so well, causing the stock to tank and every-\none to be in a bad mood.\nIn other words, a company in transition — from winning at one\npoint, to not winning now.']","The stock tanking of a company can lead to a negative mood among employees and investors. This is often seen in companies that were previously performing well but have experienced a decline in growth, causing the stock to plummet. The resulting bad mood can be attributed to the disappointment and uncertainty surrounding the company's future prospects.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 90, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,What are some of the challenges faced by startups in establishing necessary systems and routines for success?,"['structure that any established company has.\nIn a startup it is very easy for the code to not get written, for the\nuser interfaces to not get designed… for people to not come into\nwork… and for the wastebaskets to not get emptied.\nYou as the founder have to put all of these systems and routines\nand habits in place and get everyone actually rowing — forget\neven about rowing in the right direction: just rowing at all is\nhard enough at the start.\nAnd until you do, absolutely nothing happens.\nUnless, of course, you do it yourself.\nHave fun emptying those wastebaskets.']","In a startup, it is easy for the code to not get written, user interfaces to not get designed, people to not come into work, and wastebaskets to not get emptied. The founder must establish systems, routines, and habits to ensure everyone is working together towards a common goal. Without these in place, nothing will happen unless the founder takes on all tasks themselves.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 9, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,What is the significance of having a large market in the context of online businesses in 2007?,"['billion people online now. That is a very large market — a lot\nof people, spending a lot of time, buying a lot of things, in\ntotally new ways at the same time as they are abandoning older\nservices like newspapers, magazines, television, movie theaters,\nand print catalogs.\nSo, my view is that to call a bubble, you have to Xnd evidence of\nit outside of the mainstream of the kinds of Internet businesses\nthat are being built, sold, and run in 2007.\nIn closing, I’d be the last person to say that I never roll my eyes\nat the next startup that’s doing online wiki-based popularity-']","Having a large market in the context of online businesses in 2007 is significant because it represents a vast number of people spending a significant amount of time and money in new ways, while also moving away from traditional services like newspapers, magazines, television, and print catalogs. This shift indicates a changing landscape where online businesses have the potential to thrive and succeed.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 189, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How can you raise angel money for your startup before you've raised any funds?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']","Try to raise angel money, or bootstrap off of initial customers or consulting contracts, or work on it after hours while keeping your current job, or quit your job and live off of credit cards for a while.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,How does Google generate revenue from real advertisers and users?,"['lot of money quite quickly.\nPeople laughed when Fox bought MySpace for $580 million, but\nthat’s a business that will generate nearly $300 million in rev-\nenue in 2007, and more in 2008.\nAs an independent asset today, MySpace would probably be val-\nued at between $3 billion and $5 billion today — perhaps higher.\nCall that the deal of the decade.\nSimilarly, Facebook is bringing in a lot more revenue than peo-\nple think.\nAnd then there’s Google.\nThese companies aren’t pulling in all that revenue via some\nkind of Ponzi scheme.\nThis is money coming from real advertisers and real users for']","Google generates revenue from real advertisers and users through legitimate means, not through a Ponzi scheme. The money comes from actual advertising transactions and user interactions with the platform.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,"How can CEO's identify and promote strong, sharp, aggressive, and ambitious director- or VP-level managers within their company?","['strong, sharp, aggressive, ambitious director- or VP-level man-\nagers who want to succeed and want your company to succeed.\nAnd promote them, and put them in sole charge of clearly iden-\ntiXed teams and missions. (And give them big ol’ fresh option\npackages.)\nAs CEO, you should only have at most one executive between\nyou and these 20 or 30 up and comers once you are done pro-\nmoting them and putting them in charge of their teams and\nmissions.\nIf you don’t know who those top 20 or 30 up and comers are, if\nyou don’t promote them, if you don’t put them clearly in charge']","CEOs can identify and promote strong, sharp, aggressive, and ambitious director- or VP-level managers within their company by putting them in sole charge of clearly identified teams and missions, and providing them with significant option packages. The CEO should have at most one executive between them and these up-and-coming managers once they have been promoted and put in charge. It is crucial for CEOs to know who the top 20 or 30 up-and-coming managers are, promote them, and clearly assign them leadership roles within the organization.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 88, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,"What does it mean to become a ""double threat"" in terms of combining undergraduate and graduate degrees?","['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful']","The concept of becoming a ""double threat"" involves combining a substantive undergraduate degree with a useful graduate degree. This combination enhances your impact in the workforce and increases your value by having expertise in both areas.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,What steps can be taken to retain great people in the company?,"['problem — your original product cycle has peaked and you\nneed to Xnd a new product cycle. That’s your big challenge,\nway beyond retention. But I’ll talk about that in a future post.\nRetention follows from the steps you are taking to orchestrate\nthe turnaround and/or get to the next big product cycle.\nHaving adroitly sidestepped most of what you need to do, let\nme now address some things you can\ncan do to help the retention\nPart 2: Retaining great people\n87']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 91, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,How does the concept of inconsistency-avoidance tendency relate to the persistence of bad habits in individuals?,"['Five: Inconsistency-Avoidance Tendency\n[People are] reluctant to change, which is a form of inconsistency\navoidance. We see this in all human habits, constructive and\ndestructive. Few people can list a lot of bad habits that they have\neliminated, and some people cannot identify even one of these.\nInstead, practically every one has a great many bad habits he has\nlong maintained despite their being known as bad. Given this sit-\nuation, it is not too much in many cases to appraise early-formed\nhabits as destiny. When Marley’s miserable ghost says, “I wear the', 'new ideas were not accepted because they were inconsistent with\nold ideas in place…\nWe have no less an authority for this than Max Planck, Nobel lau-\nreate, Xnder of “Planck’s constant.” Planck is famous not only for\nhis science but also for saying that even in physics the radically\nnew ideas are seldom really accepted by the old guard. Instead, said\nPlanck, the progress is made by a new generation that comes along,\nless brain-blocked by its previous conclusions…\nOne corollary of Inconsistency-Avoidance Tendency is that a per-\nson making big sacriXces in the course of assuming a new identity']","The concept of inconsistency-avoidance tendency relates to the persistence of bad habits in individuals as people are reluctant to change, even when they are aware that their habits are destructive. This tendency leads individuals to maintain bad habits that they have long known to be harmful, as changing these habits would introduce inconsistency in their behavior. Therefore, many individuals continue to uphold these bad habits, viewing them almost as destiny.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,"What is the affiliation of John Perry, the philosophy professor behind the concept of Structured Procrastination?","['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
